"shapeid","x","y","house_num","special_co","streetname"
"3338","-73.7462927932","40.7758961963","357","A","ARLEIGH ROAD"
"3339","-73.8686548217","40.8215342748","38","A","CLASON POINT LANE"
"3340","-73.8300280671","40.6577669129","4","A","102 STREET"
"3341","-73.9198236651","40.5606391339","115","A","ROCKAWAY POINT BOULEVARD"
"3342","-73.8916816863","40.5673204982","250","A","ROXBURY AVENUE"
"3343","-73.9132349402","40.5634862629","728","A","LIBERTY LANE"
"3344","-73.8400672389","40.7169152318","170","A","BURNS STREET"
"3345","-73.9565979205","40.5776365838","3101","A","BRIGHTON 14 STREET"
"3346","-73.8298656564","40.8721056401","100","A","ALCOTT PLACE"
"3347","-73.830146817","40.7116825931","109","A","82 AVENUE"
"3348","-73.8385273946","40.7147848084","92","A","BEECHKNOLL ROAD"
"3349","-73.7463621494","40.771803598","18","A","38 DRIVE"
"3350","-73.7514234156","40.77243771","24","A","ARDSLEY ROAD"
"3351","-73.8860217496","40.7033276835","2726","A","CENTRAL AVENUE"
"3352","-73.828418562","40.7068188084","153","A","CUTHBERT ROAD"
"3353","-73.8849090185","40.7035678106","2762","A","CENTRAL AVENUE"
"3354","-73.8371621802","40.7141387296","3","A","UNDERWOOD ROAD"
"3355","-73.8484689172","40.7160518624","15","A","GROTON STREET"
"3356","-73.7506411613","40.77731594","225","A","BEVERLY ROAD"
"3357","-73.746259366","40.7742437756","7","A","OAK LANE"
"3358","-73.801816066","40.7714590467","162-014","A","BAYSIDE LANE"
"3359","-73.7465863918","40.7772616104","369","A","MANOR ROAD"
"3360","-73.8397429038","40.7142740554","123","A","GREENWAY NORTH"
"3361","-73.7507318568","40.7755733128","200","A","HOLLYWOOD AVENUE"
"3362","-73.7479071031","40.7721251655","134","A","PROSPECT AVENUE"
"3363","-73.8452152801","40.7179944096","5","A","ARCHWAY PLACE"
"3364","-73.825110023","40.7872989057","6","A","HILL COURT"
"3365","-73.8396468348","40.7147669984","108","A","GREENWAY NORTH"
"3366","-73.8361805916","40.7133481019","734","A","BURNS STREET"
"3367","-73.7480124618","40.7459945379","68-029","A","CLOVERDALE LANE"
